№,Секунда,Микросекунда
1,51,963040
2,51,984059
3,52,74
4,52,16088
5,52,32103
6,52,48117
7,52,64132
8,52,80146
9,52,96161
10,52,112175
11,52,128190
12,52,144204
13,52,160219
14,52,176234
15,52,192248
16,52,208262
17,52,224277
18,52,240292
19,52,256306
20,52,272321
21,52,289336
22,52,304350
23,52,320364
24,52,336379
25,52,351392
26,52,368408
27,52,418454
28,52,431465
29,52,447480
30,52,463494
31,52,479509
32,52,495524
33,52,511538
34,52,527553
35,52,543567
36,52,559582
37,52,575596
38,52,591610
39,52,607625
40,52,623640
41,52,639654
42,52,655669
43,52,671684
44,52,687698
45,52,703712
46,52,719727
47,52,735741
48,52,751756
49,52,767770
50,52,782784
51,52,798798
52,52,814813
53,52,830828
54,52,846842
55,52,862857
56,52,878872
57,52,894886
58,52,910900
59,52,926915
60,52,941929
61,52,957943
62,52,973958
63,52,989972
64,53,5987
65,53,22001
66,53,38016
67,53,54030
68,53,70045
69,53,86059
70,53,102074
71,53,118089
72,53,134103
73,53,150117
74,53,166132
75,53,182147
76,53,198161
77,53,214176
78,53,230190
79,53,246205
80,53,262219
81,53,278234
82,53,294248
83,53,310263
84,53,326277
85,53,342292
86,53,358307
87,53,374321
88,53,390336
89,53,406350
90,53,422364
91,53,438379
92,53,454394
93,53,470408
94,53,486423
95,53,502437
96,53,518452
97,53,534466
98,53,550481
99,53,566496
100,53,582510
101,53,597524
102,53,613538
103,53,629553
104,53,644566
105,53,660581
106,53,676595
107,53,692610
108,53,708625
109,53,724639
110,53,740654
111,53,756668
112,53,772683
113,53,788697
114,53,804712
115,53,820726
116,53,836741
117,53,852755
118,53,868770
119,53,884785
120,53,900799
121,53,917815
122,53,937833
123,53,960854
124,53,980872
125,53,996886
126,54,11900
127,54,27915
128,54,43929
129,54,59944
130,54,75958
131,54,91973
132,54,107987
133,54,124002
134,54,140016
135,54,156031
136,54,172045
137,54,188060
138,54,204074
139,54,220089
140,54,236103
141,54,252118
142,54,268133
143,54,284147
144,54,300161
145,54,324183
146,54,351208
147,54,364219
148,54,380234
149,54,396249
150,54,412263
151,54,428278
152,54,444292
153,54,460307
154,54,476322
155,54,492335
156,54,508351
157,54,524365
158,54,540380
159,54,556394
160,54,572409
161,54,588423
162,54,604438
163,54,620452
164,54,636467
165,54,652481
166,54,668496
167,54,684510
168,54,700525
169,54,716539
170,54,732555
171,54,748568
172,54,764583
173,54,780598
174,54,796612
175,54,812627
176,54,828641
177,54,844656
178,54,860670
179,54,876685
180,54,892700
181,54,908714
182,54,924729
183,54,940743
184,54,956758
185,54,971771
186,54,987786
187,55,3800
188,55,19815
189,55,35830
190,55,51844
191,55,67859
192,55,83873
193,55,99888
194,55,115902
195,55,131917
196,55,147931
197,55,163946
198,55,179960
199,55,195975
200,55,211990
201,55,228004
202,55,244019
203,55,260033
204,55,276048
205,55,292062
206,55,308076
207,55,324091
208,55,340106
209,55,356120
210,55,372135
211,55,388149
212,55,404164
213,55,420178
214,55,436193
215,55,452207
216,55,468222
217,55,484237
218,55,500251
219,55,516266
220,55,532280
221,55,548294
222,55,564309
223,55,580324
224,55,596338
225,55,612353
226,55,628367
227,55,644382
228,55,660397
229,55,676411
230,55,692426
231,55,708440
232,55,724455
233,55,740469
234,55,756484
235,55,772498
236,55,788513
237,55,804527
238,55,820542
239,55,836556
240,55,852571
241,55,868585
242,55,884600
243,55,900615
244,55,916629
245,55,932644
246,55,948658
247,55,964672
248,55,980687
249,55,996702
250,56,12716
251,56,28731
252,56,44745
253,56,60760
254,56,76775
255,56,92789
256,56,108803
257,56,124818
258,56,140833
259,56,156847
260,56,172862
261,56,188876
262,56,204891
263,56,220905
264,56,236920
265,56,252934
266,56,268950
267,56,284963
268,56,300978
269,56,316993
270,56,333007
271,56,349022
272,56,365036
273,56,381051
274,56,397065
275,56,413080
276,56,429094
277,56,445109
278,56,461123
279,56,477138
280,56,493152
281,56,509167
282,56,525182
283,56,541196
284,56,557210
285,56,573225
286,56,589239
287,56,605254
288,56,621269
289,56,637283
290,56,653298
291,56,669312
292,56,685327
293,56,701341
294,56,717356
295,56,733371
296,56,749385
297,56,765400
298,56,781415
299,56,797429
